clean_date,total_articles,positive,neutral,negative,average_confidence,weighted_sentiment,positive_ratio,neutral_ratio,negative_ratio,weighted_ma3,weighted_ma7,sentiment_ma3,sentiment_ma7,momentum,lag1,lag7
2018-09-30,1,0,0,1,0.9041501879692078,-0.9041501879692078,0.0,0.0,1.0,-0.9231322805086772,-0.7645403827939715,-0.9231322805086773,-0.7645403827939716,0.009749650955200195,-0.913899838924408,-0.1200456023216247
2018-10-01,1,0,0,1,0.935260534286499,-0.935260534286499,0.0,0.0,1.0,-0.9177701870600382,-0.7618234242711749,-0.9177701870600384,-0.761823424271175,-0.03111034631729126,-0.9041501879692078,-0.9542792439460754
2018-10-02,1,1,0,0,0.4495655298233032,0.4495655298233032,1.0,0.0,0.0,-0.4632817308108012,-0.601053604057857,-0.4632817308108013,-0.6010536040578571,1.3848260641098022,-0.935260534286499,-0.6758232116699219
2018-10-03,1,0,0,1,0.9288927316665648,-0.9288927316665648,0.0,0.0,1.0,-0.4715292453765867,-0.7337525657245091,-0.4715292453765871,-0.7337525657245091,-1.3784582614898682,0.4495655298233032,0.0
2018-10-04,1,0,0,1,0.9182936549186708,-0.9182936549186708,0.0,0.0,1.0,-0.465873618920644,-0.7288968903677804,-0.4658736189206443,-0.7288968903677805,0.010599076747894065,-0.9288927316665648,-0.9522833824157716
2018-10-07,1,0,0,1,0.892349123954773,-0.892349123954773,0.0,0.0,1.0,-0.9131785035133362,-0.7204686488424029,-0.9131785035133363,-0.720468648842403,0.025944530963897816,-0.9182936549186708,-0.9513468146324158
2018-10-08,1,0,1,0,0.4988687634468078,0.0,0.0,1.0,0.0,-0.6035475929578145,-0.5899115289960589,-0.6035475929578147,-0.589911528996059,0.892349123954773,-0.892349123954773,-0.913899838924408
2018-10-10,2,0,1,1,0.7501661479473114,-0.2722432017326355,0.0,0.5,0.5,-0.3881974418958027,-0.4996391023908342,-0.38819744189580296,-0.4996391023908343,-0.2722432017326355,0.0,-0.9041501879692078
2018-10-11,1,0,0,1,0.6423982977867126,-0.6423982977867126,0.0,0.0,1.0,-0.3048804998397826,-0.4578016400337218,-0.3048804998397829,-0.457801640033722,-0.37015509605407715,-0.2722432017326355,-0.935260534286499
2018-10-14,2,0,1,1,0.659166231751442,-0.2240058332681656,0.0,0.5,0.5,-0.3795491109291711,-0.5540261204753602,-0.3795491109291714,-0.5540261204753604,0.41839246451854706,-0.6423982977867126,0.4495655298233032
